Repository,Branch
Activity-Tracker-Frontend,dependabot/npm_and_yarn/postcss-8.4.31
Activity-Tracker-Frontend,dependabot/npm_and_yarn/semver-6.3.1
Activity-Tracker-Frontend,dependabot/npm_and_yarn/vite-4.0.5
Activity-Tracker-Frontend,dependabot/npm_and_yarn/webpack-5.88.2
Activity-Tracker-Frontend,dev
Activity-Tracker-Frontend,devsecops-dev
Activity-Tracker-Frontend,devsecops-main
Activity-Tracker-Frontend,devsecops-main2
Activity-Tracker-Frontend,devsecops-main-check
Activity-Tracker-Frontend,devsecops-stage
Activity-Tracker-Frontend,frontend
Activity-Tracker-Frontend,gg_cicd_fe_dev
Activity-Tracker-Frontend,main
Activity-Tracker-Frontend,master
Activity-Tracker-Frontend,maxwell-patch1-dast
Activity-Tracker-Frontend,security-in-CI
Activity-Tracker-Frontend,security-scans
Activity-Tracker-Frontend,snyk-upgrade-6d1e628758df4353e6122664aec3186b
Activity-Tracker-Frontend,snyk-upgrade-9a081623efe2649f9c7f00d188195ce9
Activity-Tracker-Frontend,snyk-upgrade-c67612f34949fe2bbca9ed79e4c50686
Activity-Tracker-Frontend,snyk-upgrade-df4f0efd6d1d2efd25532351344ea24a
Activity-Tracker-Frontend,snyk-upgrade-e324406f0fe9a685b3622a9d804690ef
Activity-Tracker-Frontend,stage
Activity-Tracker-Backend,Joeasuquo-patch-1
Activity-Tracker-Backend,Joeasuquo-sca-check
Activity-Tracker-Backend,ansible
Activity-Tracker-Backend,backend
Activity-Tracker-Backend,backend-bu
Activity-Tracker-Backend,cicd-backend-dev
Activity-Tracker-Backend,cicd-be-dev-cluster
Activity-Tracker-Backend,cicd-test
Activity-Tracker-Backend,dast
Activity-Tracker-Backend,dependabot/npm_and_yarn/babel/traverse-7.23.2
Activity-Tracker-Backend,dependabot/npm_and_yarn/browserify-sign-4.2.2
Activity-Tracker-Backend,dependabot/npm_and_yarn/express-4.19.2
Activity-Tracker-Backend,dependabot/npm_and_yarn/follow-redirects-1.15.6
Activity-Tracker-Backend,dependabot/npm_and_yarn/json5-1.0.2
Activity-Tracker-Backend,dependabot/npm_and_yarn/postcss-8.4.31
Activity-Tracker-Backend,dependabot/npm_and_yarn/webpack-dev-middleware-5.3.4
Activity-Tracker-Backend,dev
Activity-Tracker-Backend,dev_
Activity-Tracker-Backend,devsecops-main
Activity-Tracker-Backend,devsecops-main2
Activity-Tracker-Backend,devsecops-main-test
Activity-Tracker-Backend,devsecops-stage
Activity-Tracker-Backend,feature/admin
Activity-Tracker-Backend,feature/new
